217 301
240.06 32.228 -2247
240.06 32.214 -2453
240.06 32.199 -2721
240.06 32.185 -3167
240.06 32.171 -3449
240.06 32.157 -3467
240.06 32.143 -3497
240.06 32.129 -3497
240.06 32.115 -3483
240.06 32.101 -3495
240.06 32.087 -3429
240.06 32.072 -3487
240.06 32.058 -3549
240.06 32.044 -3579
240.06 32.03 -3587
240.06 32.016 -3587
240.06 32.002 -3563
240.07 35.003 605
240.07 34.989 661
240.07 34.976 775
240.07 34.962 943
240.07 34.948 1107
240.07 34.935 1345
240.07 34.921 1447
240.07 34.907 1229
240.07 34.894 975
240.07 34.88 785
240.07 34.866 793
240.07 34.853 607
240.07 34.839 543
240.07 34.825 713
240.07 34.812 905
240.07 34.798 1017
240.07 34.784 839
240.07 34.771 657
240.07 34.757 807
240.07 34.743 935
240.07 34.73 1019
240.07 34.716 1021
240.07 34.702 905
240.07 34.688 803
240.07 34.675 597
240.07 34.661 477
240.07 34.647 371
240.07 34.633 351
240.07 34.62 327
240.07 34.606 351
240.07 34.592 307
240.07 34.579 253
240.07 34.565 247
240.07 34.551 357
240.07 34.538 577
240.07 34.524 879
240.07 34.51 753
240.07 34.496 505
240.07 34.483 247
240.07 34.469 129
240.07 34.455 83
240.07 34.441 45
240.07 34.428 -7
240.07 34.414 -37
240.07 34.4 -61
240.07 34.386 -73
240.07 34.373 -227
240.07 34.359 -399
240.07 34.345 -421
240.07 34.331 -447
240.07 34.318 -461
240.07 34.304 -487
240.07 34.29 -501
240.07 34.276 -523
240.07 34.263 -541
240.07 34.249 -551
240.07 34.235 -537
240.07 34.221 -543
240.07 34.207 -535
240.07 34.194 -535
240.07 34.18 -511
240.07 34.166 -479
240.07 34.152 -409
240.07 34.138 -217
240.07 34.125 -103
240.07 34.111 -101
240.07 34.097 -85
240.07 34.083 -55
240.07 34.069 -37
240.07 34.056 -23
240.07 34.042 -29
240.07 34.028 -35
240.07 34.014 -35
240.07 34 -41
240.07 33.986 -77
240.07 33.973 -83
240.07 33.959 -79
240.07 33.945 -79
240.07 33.931 -81
240.07 33.917 -83
240.07 33.904 -85
240.07 33.89 -91
240.07 33.876 -95
240.07 33.862 -99
240.07 33.848 -109
240.07 33.834 -113
240.07 33.821 -119
240.07 33.807 -125
240.07 33.793 -159
240.07 33.779 -163
240.07 33.765 -171
240.07 33.751 -169
240.07 33.737 -145
240.07 33.724 -133
240.07 33.71 -139
240.07 33.696 -139
240.07 33.682 -139
240.07 33.668 -139
240.07 33.654 -143
240.07 33.64 -173
240.07 33.627 -281
240.07 33.613 -403
240.07 33.599 -583
240.07 33.585 -579
240.07 33.571 -565
240.07 33.557 -557
240.07 33.543 -555
240.07 33.529 -597
240.07 33.515 -603
240.07 33.502 -643
240.07 33.488 -633
240.07 33.474 -835
240.07 33.46 -867
240.07 33.446 -869
240.07 33.432 -881
240.07 33.418 -867
240.07 33.404 -845
240.07 33.39 -837
240.07 33.376 -821
240.07 33.362 -799
240.07 33.348 -753
240.07 33.334 -757
240.07 33.321 -811
240.07 33.307 -939
240.07 33.293 -959
240.07 33.279 -953
240.07 33.265 -833
240.07 33.251 -779
240.07 33.237 -733
240.07 33.223 -695
240.07 33.209 -745
240.07 33.195 -843
240.07 33.181 -895
240.07 33.167 -1013
240.07 33.153 -1067
240.07 33.139 -1095
240.07 33.125 -1107
240.07 33.111 -1097
240.07 33.097 -1141
240.07 33.084 -1117
240.07 33.069 -1067
240.07 33.056 -985
240.07 33.042 -939
240.07 33.028 -921
240.07 33.014 -749
240.07 33 -675
240.07 32.986 -619
240.07 32.972 -601
240.07 32.958 -757
240.07 32.944 -971
240.07 32.93 -1161
240.07 32.916 -1105
240.07 32.902 -985
240.07 32.888 -951
240.07 32.874 -1081
240.07 32.86 -1163
240.07 32.846 -1209
240.07 32.832 -1205
240.07 32.818 -1201
240.07 32.804 -1199
240.07 32.79 -1189
240.07 32.776 -1145
240.07 32.762 -893
240.07 32.748 -555
240.07 32.734 -559
240.07 32.72 -943
240.07 32.706 -999
240.07 32.692 -1009
240.07 32.678 -1009
240.07 32.664 -1003
240.07 32.65 -1085
240.07 32.636 -1147
240.07 32.621 -1231
240.07 32.607 -1429
240.07 32.593 -1335
240.07 32.579 -1313
240.07 32.565 -1509
240.07 32.551 -1527
240.07 32.537 -1553
240.07 32.523 -1595
240.07 32.509 -1629
240.07 32.495 -1635
240.07 32.481 -1631
240.07 32.467 -1653
240.07 32.453 -1389
